,original,pbrs,naive_log_shaped,base_work,ref_linear,ref_quadratic
original,0.000000,0.399874,0.399874,0.399874,0.678107,0.720500
pbrs,0.399874,0.000000,0.000000,0.000000,0.552409,0.623661
naive_log_shaped,0.399874,0.000000,0.000000,0.000000,0.552409,0.623661
base_work,0.399874,0.000000,0.000000,0.000000,0.552409,0.623661
ref_linear,0.678107,0.552409,0.552409,0.552409,0.000000,0.131105
ref_quadratic,0.720500,0.623661,0.623661,0.623661,0.131105,0.000000
