prev_norm,m,curr_norm,converged
12.448645918624129,1,7.680093179673752,0
7.680093179673752,5,2.8827487473822395,0
2.8827487473822395,3,2.4258495809062763,0
2.4258495809062763,13,1.7255159891409615,0
1.7255159891409615,3,1.6549722019220205,0
1.6549722019220205,10,1.4626223620647507,0
1.4626223620647507,14,1.32323592470266,0
1.32323592470266,12,1.236136871750613,0
1.236136871750613,4,1.217055233707936,0
1.217055233707936,16,1.1247719555673024,0
1.1247719555673024,14,1.0495370708925031,0
1.0495370708925031,15,0.9231481696856497,0
0.9231481696856497,3,0.9072552950583946,0
0.9072552950583946,3,0.8969911658144818,0
0.8969911658144818,18,0.538638037542097,0
0.538638037542097,8,0.43609559980044044,0
0.43609559980044044,6,0.38143590569376445,0
0.38143590569376445,10,0.2568269134827888,0
0.2568269134827888,13,0.17993908314127785,0
0.17993908314127785,19,0.14201991142294293,0
0.14201991142294293,6,0.13813832592982855,0
0.13813832592982855,18,0.12932310777346276,0
0.12932310777346276,1,0.1290222672312173,0
0.1290222672312173,11,0.11619872876571392,0
0.11619872876571392,13,0.07923577797572358,0
0.07923577797572358,3,0.06536509113944586,0
0.06536509113944586,3,0.06203412286692581,0
0.06203412286692581,8,0.056857967759464466,0
0.056857967759464466,19,0.0035553105741316727,0
0.0035553105741316727,12,0.0007201827545630066,0
0.0007201827545630066,18,0.0004412286984036185,0
0.0004412286984036185,16,0.0004193489316713779,0
0.0004193489316713779,9,0.0004054398594908113,0
0.0004054398594908113,15,0.0003450469075715892,0
0.0003450469075715892,1,0.0003398848076665459,0
0.0003398848076665459,3,0.000330460321279369,0
0.000330460321279369,16,7.37190024969363e-05,0
7.37190024969363e-05,16,1.9733236533559174e-05,0
1.9733236533559174e-05,5,1.7876464205194774e-05,0
1.7876464205194774e-05,11,8.975481099879376e-06,0
8.975481099879376e-06,12,5.4488727540465806e-06,0
5.4488727540465806e-06,17,1.8913898999356793e-06,0
1.8913898999356793e-06,12,1.4446703649510496e-06,0
1.4446703649510496e-06,8,1.392012370526608e-06,0
1.392012370526608e-06,8,1.3537256472129634e-06,0
1.3537256472129634e-06,9,1.313874718316508e-06,0
1.313874718316508e-06,13,1.1392680960297223e-06,0
1.1392680960297223e-06,17,5.583717707035081e-07,1
14.242563100278192,18,2.065202898600992,0
2.065202898600992,6,1.8023862970780595,0
1.8023862970780595,11,1.464476423852235,0
1.464476423852235,14,1.2051443492100347,0
1.2051443492100347,13,1.020656525860603,0
1.020656525860603,18,0.9227650907609181,0
0.9227650907609181,3,0.9187160422836871,0
0.9187160422836871,10,0.9004590104179795,0
0.9004590104179795,8,0.8880185783968432,0
0.8880185783968432,10,0.8748633483908407,0
0.8748633483908407,3,0.8719145741917488,0
0.8719145741917488,3,0.870090662571014,0
0.870090662571014,6,0.8586517055637443,0
0.8586517055637443,6,0.8497241797674153,0
0.8497241797674153,9,0.8296700949121739,0
0.8296700949121739,12,0.797626229357282,0
0.797626229357282,13,0.7332394079394526,0
0.7332394079394526,8,0.6922970004140742,0
0.6922970004140742,8,0.6682587671516591,0
0.6682587671516591,5,0.6510481567341528,0
0.6510481567341528,12,0.4569108287268612,0
