,original,pbrs,naive_log_shaped,base_work,ref_linear,ref_quadratic
original,0.000000,0.396634,0.396634,0.396634,0.673048,0.720302
pbrs,0.396634,0.000000,0.000000,0.000000,0.555549,0.633615
naive_log_shaped,0.396634,0.000000,0.000000,0.000000,0.555549,0.633615
base_work,0.396634,0.000000,0.000000,0.000000,0.555549,0.633615
ref_linear,0.673048,0.555549,0.555549,0.555549,0.000000,0.137223
ref_quadratic,0.720302,0.633615,0.633615,0.633615,0.137223,0.000000
